label,area,area_um2,diameter_um,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2
1,472.0,126847.62160709484,401.87984272137317,265.41525423728814,833.6440677966102,28.141949664272225,21.69254991816182,-0.04416887355196721,80.87005768508881,234.0,234.0,222.0,200.1927966101695,186.77966101694915,169.20550847457628,137.0,138.0,116.0
2,1165.0,313087.8796022574,631.3761709843631,387.331330472103,590.7811158798283,65.710417686724,27.155930745261045,0.2073235396007177,173.78174593052023,255.0,237.0,254.0,237.28669527896994,196.44463519313305,218.90557939914163,93.0,46.0,48.0
3,2445.0,657081.4297231926,914.6704654872636,518.3885480572598,425.8126789366053,159.79832736969186,20.29712425919503,1.5669022483368507,309.45584412271575,253.0,251.0,250.0,192.32310838445807,169.520245398773,174.69366053169733,38.0,29.0,28.0
4,2722.0,731523.7839290512,965.0932647225183,487.6880969875092,673.2714915503307,160.27344942470307,22.637449141288315,-1.5690581383505207,319.3553390593273,249.0,252.0,248.0,190.6385011021308,191.56135194709773,177.38978692138133,27.0,31.0,30.0
5,756.0,203171.19054017734,508.611437294401,495.31613756613757,769.4854497354497,36.60621595998716,27.295976059556132,1.5274146982454868,106.48528137423858,173.0,173.0,201.0,120.64682539682539,81.86243386243386,153.7275132275132,31.0,27.0,46.0
6,1087.0,292125.7726417629,609.8738277412845,541.2051517939283,385.3716651333947,49.58765119721893,28.126456876270172,1.4675286272507029,129.25483399593904,232.0,218.0,226.0,176.96136154553818,131.54185832566696,153.23827046918123,106.0,73.0,88.0
7,1712.0,460091.3732867508,765.3799910241961,331.93457943925233,533.4211448598131,88.15194415686064,49.25028058930498,-1.2248018912795022,268.1076477383248,187.0,189.0,192.0,72.06834112149532,59.50876168224299,50.759929906542055,32.0,27.0,22.0
8,997.0,267938.7261488847,584.0806294500147,534.8585757271816,329.94984954864594,48.74879706822331,26.369889262310842,1.4039600277790505,126.08326112068522,235.0,237.0,234.0,200.18856569709126,217.01203610832496,141.00200601805417,136.0,138.0,45.0
9,825.0,221714.592851384,531.3151487236536,388.4206060606061,1071.1139393939393,42.04460673406901,26.094758374849096,-0.04973576088680868,117.79898987322332,130.0,99.0,112.0,68.80121212121212,57.442424242424245,51.67636363636364,16.0,37.0,20.0
10,2317.0,622682.074711099,890.4063349504574,463.2749244712991,926.1985325852395,151.39409479891467,20.927999811230904,1.5450554751483623,310.8700576850888,239.0,239.0,236.0,178.2313336210617,189.63746223564954,194.7742770824342,40.0,60.0,60.0
11,3948.0,1061005.1061542595,1162.288113301316,460.4784701114488,355.22036474164133,101.21129765536914,57.514752836320525,-0.02213542133753961,300.16652224137044,184.0,193.0,197.0,132.78115501519756,156.31990881458967,161.74493414387032,72.0,64.0,61.0
12,3007.0,808116.0978231657,1014.3595873680712,438.3415364150316,614.831060857998,113.55829203984312,75.49951881091982,-1.0655743606896744,426.43354954612926,177.0,170.0,164.0,58.14299966744263,54.56834053874293,47.83205853009644,32.0,30.0,25.0
13,10327.0,2775329.212577264,1879.8028894307172,365.7275104096059,878.8579451922146,210.99635497946392,95.92413067426664,-0.29161386232806974,777.4467888754755,243.0,238.0,251.0,89.07126948775056,98.30153965333592,111.99273748426455,12.0,26.0,21.0
14,3508.0,942757.3233001879,1095.6075506833968,422.2517103762828,719.919897377423,95.85650985649227,79.31684014126158,-1.3533936440878138,384.63455967290594,163.0,164.0,156.0,55.49116305587229,54.96265678449259,48.32126567844926,30.0,19.0,18.0
15,114527.0,30778554.15210964,6260.069670238394,94.49753333275123,501.30528172396026,807.3324940363085,225.85803437642693,1.42440044770934,3464.906817080297,234.0,247.0,255.0,161.15061950457098,208.5989068080016,227.3113676251015,44.0,59.0,42.0
16,3649.0,980650.3628056973,1117.4089768223173,390.9978076185256,544.2858317347218,92.69390689005199,60.60852588447157,-0.22110131598865537,319.6639969244288,213.0,210.0,253.0,59.17182789805426,101.75089065497397,161.21375719375172,19.0,28.0,32.0
17,2076.0,557914.5391023917,842.827890952748,469.02986512524086,527.1001926782274,71.97019164606145,40.411384752200355,-0.27184380246596473,202.12489168102786,203.0,186.0,184.0,63.76156069364162,58.548651252408476,64.48073217726397,25.0,31.0,27.0
18,970.0,260682.6122010212,576.1175318276655,337.2082474226804,545.1701030927835,41.5412750619487,30.175204274296267,-0.046169884589221236,119.1543289325507,250.0,216.0,185.0,192.56907216494847,148.7422680412371,121.93298969072166,81.0,44.0,37.0
19,144579.0,38854877.72104272,7033.602691386602,526.8755282579075,530.5650613159587,1401.3965634577414,211.30689503825766,1.5632239874200986,3431.7270555095806,223.0,216.0,207.0,175.29060236963875,174.4757883233388,160.92702259664267,54.0,52.0,45.0
20,4045.0,1087073.3673743615,1176.479833813335,370.5572311495674,459.2768850432633,118.61920102155875,73.80385199627666,0.07070917956153445,485.70562748477136,254.0,216.0,218.0,187.42521631644004,39.39604449938195,63.80494437577256,79.0,0.0,17.0
21,18507.0,4973662.993818865,2516.4785725128,304.3274436699627,163.20927216728805,193.05736448331785,127.6370127120646,1.5644929768654505,560.8111831820431,215.0,204.0,201.0,117.217809477495,113.21348678878262,90.31863619171125,58.0,56.0,32.0
22,15410.0,4141359.849502821,2296.2889908209404,101.50551589876703,213.12913692407528,192.58258416124448,113.00294993055941,1.4789026412491975,582.4507934888323,251.0,251.0,254.0,196.85762491888383,203.1829980532122,202.75483452303698,94.0,72.0,38.0
23,13879.0,3729911.3141628588,2179.236238581593,357.85013329490596,997.6390229843648,193.12837780190426,103.43517578627701,-1.377347998688333,664.8355697996826,211.0,157.0,118.0,177.63253836731752,119.58664168888248,66.70905684847611,97.0,57.0,29.0
